STT,self_study_time,amount_of_subject,working_time,sleeping_time,extracurricular_time,social_media_time,learning_method,attendance_proportion,gpa
53,5 – 10 giờ,Trên 8 môn,"Có, dưới 10 giờ/tuần",6 – 7 giờ,Không,3  – 4 giờ,Kết hợp cả hai,Trên 95%,3.0 – 3.5
54,5 – 10 giờ,3 – 4 môn,"Có, dưới 10 giờ/tuần",6 – 7 giờ,Có,3  – 4 giờ,Kết hợp cả hai,50% – 70%,Dưới 2.0
55,Dưới 5 giờ,5  – 6 môn,Không,7 – 8 giờ,Không,5 – 6 giờ,Tự học cá nhân,85% – 95%,Trên 3.5
56,Dưới 5 giờ,3 – 4 môn,Không,6 – 7 giờ,Không,3  – 4 giờ,Tự học cá nhân,50% – 70%,3.0 – 3.5
57,5 – 10 giờ,7 – 8 môn,Không,6 – 7 giờ,Có,1 – 2 giờ,Kết hợp cả hai,70% – 85%,2.5 – 3.0
58,Trên 20 giờ,3 – 4 môn,"Có, 10 – 20 giờ/tuần",7 – 8 giờ,Không,3  – 4 giờ,Tự học cá nhân,50% – 70%,Trên 3.5
59,11 – 15 giờ,5  – 6 môn,Không,5 – 6 giờ,Không,5 – 6 giờ,Tự học cá nhân,70% – 85%,3.0 – 3.5
60,Trên 20 giờ,7 – 8 môn,"Có, trên 20 giờ/tuần",6 – 7 giờ,Có,3  – 4 giờ,Kết hợp cả hai,85% – 95%,2.5 – 3.0
61,Trên 20 giờ,Trên 8 môn,"Có, trên 20 giờ/tuần",Dưới 5 giờ,Có,Dưới 1 giờ,Tự học cá nhân,Trên 95%,Trên 3.5
62,5 – 10 giờ,7 – 8 môn,"Có, dưới 10 giờ/tuần",Dưới 5 giờ,Không,3  – 4 giờ,Kết hợp cả hai,Trên 95%,Trên 3.5
63,5 – 10 giờ,5  – 6 môn,Không,6 – 7 giờ,Không,1 – 2 giờ,Kết hợp cả hai,70% – 85%,3.0 – 3.5
,Trên 20 giờ,5  – 6 môn,"Có, 10 – 20 giờ/tuần",6 – 7 giờ,Không,Dưới 1 giờ,Kết hợp cả hai,70% – 85%,3.0 – 3.5
64,11 – 15 giờ,5 – 6 môn,Không,5 – 6 giờ,Không,5 – 6 giờ,Tự học cá nhân,70% – 85%,3.0 – 3.5
65,Trên 20 giờ,7 – 8 môn,"Có, trên 20 giờ/tuần",6 – 7 giờ,Có,3 – 4 giờ,Kết hợp cả hai,85% – 95%,2.5 – 3.0
66,Trên 20 giờ,Trên 8 môn,"Có, trên 20 giờ/tuần",Dưới 5 giờ,Có,Dưới 1 giờ,Tự học cá nhân,Trên 95%,Trên 3.5
67,5 – 10 giờ,7 – 8 môn,"Có, dưới 10 giờ/tuần",Dưới 5 giờ,Không,3 – 4 giờ,Kết hợp cả hai,Trên 95%,Trên 3.5
68,5 – 10 giờ,5 – 6 môn,Không,6 – 7 giờ,Không,1 – 2 giờ,Kết hợp cả hai,70% – 85%,3.0 – 3.5
69,11 – 15 giờ,5 – 6 môn,"Có, dưới 10 giờ/tuần",6 – 7 giờ,Có,3 – 4 giờ,Tự học cá nhân,Trên 95%,Trên 3.5
70,5 – 10 giờ,5 – 6 môn,Không,6 – 7 giờ,Không,Trên 6 giờ,Tự học cá nhân,Trên 95%,Trên 3.5
71,Dưới 5 giờ,5 – 6 môn,"Có, trên 20 giờ/tuần",5 – 6 giờ,Có,3 – 4 giờ,Kết hợp cả hai,50% – 70%,2.0 – 2.5
72,Trên 20 giờ,5 – 6 môn,"Có, 10 – 20 giờ/tuần",6 – 7 giờ,Không,3 – 4 giờ,Kết hợp cả hai,70% – 85%,Trên 3.5
73,Dưới 5 giờ,5 – 6 môn,Không,5 – 6 giờ,Không,3 – 4 giờ,Kết hợp cả hai,50% – 70%,3.0 – 3.5
74,11 – 15 giờ,3 – 4 môn,Không,6 – 7 giờ,Không,1 – 2 giờ,Kết hợp cả hai,70% – 85%,3.0 – 3.5
75,Dưới 5 giờ,5 – 6 môn,Không,6 – 7 giờ,Không,5 – 6 giờ,Kết hợp cả hai,70% – 85%,Trên 3.5
76,5 – 10 giờ,Trên 8 môn,Không,7 – 8 giờ,Không,3 – 4 giờ,Kết hợp cả hai,50% – 70%,3.0 – 3.5
